Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair4,1,A,(0:01:31.9),"Han er jo lidt truende, er han ikk'?",1,Rebekka R
Pair4,1,B,(0:01:32.6),Jo.,1,Rebekka R
Pair4,1,A,(0:01:33.6),"Med de der store muskler. Og så har han dét der   det er så bare lige, om det er godt eller skidt.",1,Rebekka R
Pair4,1,B,(0:01:38.8),"Ja, det er jo lige det   om det overhovedet betyder noget. Men helt klart   han viser både muskler og tænder.",1,Rebekka R
Pair4,1,A,(0:01:47.7),"Ja, det må være truende.",1,Rebekka R
Pair4,1,B,(0:01:51.1),"Så er spørgsmålet om det er den ene, eller den anden.",1,Rebekka R
Pair4,1,A,(0:01:51.9),Om han bare har noget?,1,Rebekka R
Pair4,1,B,(0:01:56.9),"Det ved jeg ikke, vi bliver næsten nødt til bare at prøve et eller andet.",1,Rebekka R
Pair4,1,A,(0:02:00.3),"Ja, øhm. Jeg synes han virker lidt toer, gør han ikke det?",1,Rebekka R
Pair4,1,B,(0:02:04.2),"Jo, det kan godt være. Vi tror ikke han har noget, kan jeg fornemme.",1,Rebekka R
Pair4,1,A,(0:02:08.4),Nej.,1,Rebekka R
Pair4,1,B,(0:02:09.4),"Nej, vi prøver. Skal vi prøve 3?",1,Rebekka R
Pair4,1,A,(0:02:10.1),Ja.,1,Rebekka R
Pair4,1,B,(0:02:15.3),Så han havde altså ,2,Rebekka R
Pair4,1,A,(0:02:17.0),Han havde noget.,2,Rebekka R
Pair4,1,B,(0:02:17.2),"Okay. Det er sådan set det samme   bare at han ikke, øh ",2,Rebekka R
Pair4,1,A,(0:02:21.5),"Mon ikke han har noget så? Da ham den anden var truende, eller hvad?",2,Rebekka R
Pair4,1,B,(0:02:24.9),"Ham den anden, han havde noget. Så du tror også han har noget, eller hvad?",2,Rebekka R
Pair4,1,A,(0:02:32.0),Ja... Det ved jeg ikke.,2,Rebekka R
Pair4,1,B,(0:02:33.1),"Jo, men lad os prøve det.",2,Rebekka R
Pair4,1,B,(0:02:37.9),"Nå, du mente ikke han var ",3,Rebekka R
Pair4,1,A,(0:02:39.3),"Jeg trøde ikke, han var farlig.",3,Rebekka R
Pair4,1,B,(0:02:39.9),"Sorry! Okay, det var min fejl. Han er i hvert fald ond.",3,Rebekka R
Pair4,1,A,(0:02:46.1),Ja.,3,Rebekka R
Pair4,1,B,(0:02:48.4),"Men skal vi gå med den teori, at prikkerne betyder, at de har noget, eller hvad?",3,Rebekka R
Pair4,1,A,(0:02:52.9),"Det kan vi i hvert fald finde ud af nu, hvis det er.",3,Rebekka R
Pair4,1,B,(0:02:56.6),Eller hvad tænker du?,3,Rebekka R
Pair4,1,A,(0:02:59.3),Jeg tænker lidt: der er da også forskellige øjne nu.,3,Rebekka R
Pair4,1,B,(0:03:02.6),Ja han er meget mere ond.,3,Rebekka R
Pair4,1,A,(0:03:03.7),"Han er meget mere ond, ja.",3,Rebekka R
Pair4,1,B,(0:03:04.8),På grund af øjnene.,3,Rebekka R
Pair4,1,A,(0:03:05.1),Det kan også være han bare er ond ond.,3,Rebekka R
Pair4,1,B,(0:03:06.5),Ja.,3,Rebekka R
Pair4,1,A,(0:03:08.9),"Nu finder vi i hvert fald ud af, om han også har noget.",3,Rebekka R
Pair4,1,B,(0:03:09.7),Ja. Vi prøver 3?,3,Rebekka R
Pair4,1,A,(0:03:12.2),Tre.,3,Rebekka R
Pair4,1,B,(0:03:20.6),"Okay så kan vi måske godt tænke at det er prikkerne, der betyder, at det er noget. Kan vi ikke det?",4,Rebekka R
Pair4,1,A,(0:03:27.0),Nej den der havde da ikke prikker   ham her.,4,Rebekka R
Pair4,1,B,(0:03:29.2),"Nej, det er sgu da rigtigt. Men han er ret god, er han ikke?",4,Rebekka R
Pair4,1,A,(0:03:36.3),"Jo, det vil jeg sige.",4,Rebekka R
Pair4,1,B,(0:03:37.8),"Bortset fra: han har selvfølgelig åben mund, men det kan være de allesammen har det.",4,Rebekka R
Pair4,1,A,(0:03:44.2),"Ja. Og øjnene de er også, sådan, de er meget anderledes. ... Han kunne da godt have lidt?",4,Rebekka R
Pair4,1,B,(0:04:18.0),Hvad hælder du til? 2?,4,Rebekka R
Pair4,1,A,(0:04:19.1),Ja. Jo.,4,Rebekka R
Pair4,1,B,(0:04:23.8),Det gør vi?,4,Rebekka R
Pair4,1,A,(0:04:24.8),Ja.,4,Rebekka R
Pair4,1,A,(0:04:32.6),Dén der ser lige sådan ud   ham der har bare prikker.,5,Rebekka R
Pair4,1,B,(0:04:35.1),Ja. Hvad med farverne   har der været noget der?,5,Rebekka R
Pair4,1,A,(0:04:42.7),Ja har der været noget med farven? Altså har  de grønne... De havde noget.,5,Rebekka R
Pair4,1,B,(0:04:45.8),Ja.,5,Rebekka R
Pair4,1,A,(0:04:48.4),Eller ham den store grønne han havde i hvert fald noget.,5,Rebekka R
Pair4,1,B,(0:04:49.3),Ja. ,5,Rebekka R
Pair4,1,A,(0:04:52.6),Så skal vi prøve en 2'er?,5,Rebekka R
Pair4,1,B,(0:04:53.5),Ja.,5,Rebekka R
Pair4,1,A,(0:05:00.4),Dén er ond.,6,Rebekka R
Pair4,1,B,(0:05:00.5),"Ja. Jo, det er den. Det synes jeg også.",6,Rebekka R
Pair4,1,A,(0:05:11.5),Skal vi prøve en 4'er?,6,Rebekka R
Pair4,1,B,(0:05:13.2),Ja.,6,Rebekka R
Pair4,1,A,(0:05:33.3),De var søde før.,7,Rebekka R
Pair4,1,B,(0:05:34.6),Ja. Altså den har  nej den har måske ikke været helt sådan der før. Den var blå før uden prikker.,7,Rebekka R
Pair4,1,A,(0:05:51.1),"Men hvis det er sødt, så må den jo være 1. Eller så er det bare med, om den har noget i sig.",7,Rebekka R
Pair4,1,B,(0:05:56.2),Jamen det er nemlig lige det.,7,Rebekka R
Pair4,1,A,(0:05:58.4),"Den var blå før, ja.",7,Rebekka R
Pair4,1,B,(0:06:00.4),"Ja, og uden prikker. Men den havde ikke noget.",7,Rebekka R
Pair4,1,A,(0:06:05.1),Den var bare sød.,7,Rebekka R
Pair4,1,B,(0:06:06.7),"Ja. Men jeg synes også bare, at prikkerne havde vi jo også prøvet. Men der var heller ikke noget.  ... Skal vi prøve 1?",7,Rebekka R
Pair4,1,A,(0:06:19.0),Ja.,7,Rebekka R
Pair4,1,A,(0:06:29.5),"Men jeg ved ikke, for jeg synes egentligt ikke at ham her ser så ond ud.",8,Rebekka R
Pair4,1,B,(0:06:31.6),Nej...,8,Rebekka R
Pair4,1,A,(0:06:33.1),Han er bare stærk.,8,Rebekka R
Pair4,1,B,(0:06:33.3),Ja ,8,Rebekka R
Pair4,1,A,(0:06:35.2),"Så det kan godt være, han har noget juice i sig.",8,Rebekka R
Pair4,1,B,(0:06:36.3),"Ja. Ja! Det kunne faktisk godt være. Det kan være det er mere øjenene der, vi skal gå efter.",8,Rebekka R
Pair4,1,A,(0:06:39.8),Ja.,8,Rebekka R
Pair4,1,B,(0:06:40.9),"At det er kun, når de har de der... ",8,Rebekka R
Pair4,1,A,(0:06:42.9),"Ja de der lille nogle, der er skarpe.",8,Rebekka R
Pair4,1,B,(0:06:43.1),Ja. Tror du så bare 2?,8,Rebekka R
Pair4,1,A,(0:06:47.9),Vi kan godt prøve en 2'er.,8,Rebekka R
Pair4,1,B,(0:06:56.4),"Den er også bare 1, ikk'?",9,Rebekka R
Pair4,1,A,(0:06:57.6),"Den er bare sød, så?",9,Rebekka R
Pair4,1,B,(0:06:57.9),Ja. Ikk'?,9,Rebekka R
Pair4,1,A,(0:06:59.9),Jo.,9,Rebekka R
Pair4,1,B,(0:07:10.3),"Jeg synes bare vi havde prøvet den der med, om det var prikkerne.",10,Rebekka R
Pair4,1,A,(0:07:12.0),Ja.,10,Rebekka R
Pair4,1,B,(0:07:13.0),Altså den er jo præcis magen til den før.,10,Rebekka R
Pair4,1,A,(0:07:28.0),Er han bare 1 så?,10,Rebekka R
Pair4,1,B,(0:07:31.3),"Ja, gjorde vi ikke det før, eller tog vi ikke 2'eren før, for at teste det med prikkerne?",10,Rebekka R
Pair4,1,A,(0:07:35.4),"Jo, det tror jeg.",10,Rebekka R
Pair4,1,B,(0:07:37.8),Tror vi så bare   skal vi sige 1?,10,Rebekka R
Pair4,1,A,(0:07:38.1),Ja.,10,Rebekka R
Pair4,1,B,(0:07:43.2),"Okay, han er ond.",11,Rebekka R
Pair4,1,A,(0:07:44.9),Øh... Og han er  men han er ikke stærk.,11,Rebekka R
Pair4,1,B,(0:07:49.9),"Nej, det er rigtigt, ja.",11,Rebekka R
Pair4,1,A,(0:07:51.3),"Så det kan godt være, han bare skal ud simpelthen.",11,Rebekka R
Pair4,1,B,(0:07:52.4),"Ja. Ja, det tror jeg.",11,Rebekka R
Pair4,1,B,(0:07:59.8),"God. 1, ikk'?",12,Rebekka R
Pair4,1,A,(0:08:01.6),God. 1. Jo.,12,Rebekka R
Pair4,1,B,(0:08:05.3),Hvad  hvad var det vi sagde om ?,12,Rebekka R
Pair4,1,A,(0:08:07.1),"Jo, fordi han er ikke stærk.",12,Rebekka R
Pair4,1,A,(0:08:15.1),Han er... God og har juice.,13,Rebekka R
Pair4,1,B,(0:08:18.5),"Ja, så 2.",13,Rebekka R
Pair4,1,A,(0:08:18.9),Ja.,13,Rebekka R
Pair4,1,A,(0:08:26.6),Han er bare ond.,14,Rebekka R
Pair4,1,B,(0:08:26.8),"Han er kun ond, ikk'?",14,Rebekka R
Pair4,1,A,(0:08:27.7),Ja.,14,Rebekka R
Pair4,1,B,(0:08:32.8),Han havde da de onde øjne?,15,Rebekka R
Pair4,1,A,(0:08:33.1),"Havde han ikke de onde, ja?",15,Rebekka R
Pair4,1,B,(0:08:34.0),"Jo. ... Altså der ville vi jo bare sige 1, ikk'?",15,Rebekka R
Pair4,1,A,(0:08:49.0),"Friendly, ja.",15,Rebekka R
