Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair25,1,A,(0:00:41.7),Jeg tænker den er god.,1,RebekkaR
Pair25,1,B,(0:00:42.9),"Ja, den ser ikke umiddelbart så frygtindgydende ud.",1,RebekkaR
Pair25,1,A,(0:00:45.3),"Nej, vel?",1,RebekkaR
Pair25,1,B,(0:00:46.8),"Tror du den har noget i sig, vi skal tappe?",1,RebekkaR
Pair25,1,A,(0:00:52.5),"Ja, det tror jeg. Men de der ovenarme - om de er sådan her eller nede, kunne det være, om de var farlige?",1,RebekkaR
Pair25,1,B,(0:01:01.1),Det kunne selvfølgelig godt være.,1,RebekkaR
Pair25,1,A,(0:01:01.8),"Men jeg tænker, vi bare springer ud i det.",1,RebekkaR
Pair25,1,B,(0:01:03.5),Ja.,1,RebekkaR
Pair25,1,A,(0:01:04.3),Men den er umiddelbart venlig.,1,RebekkaR
Pair25,1,B,(0:01:05.6),Ja. Skal vi tappe den eller bare ignorere den?,1,RebekkaR
Pair25,1,A,(0:01:11.0),Lad os prøve at tappe den og så se. 2 så.,1,RebekkaR
Pair25,1,B,(0:01:18.1),Okay den ser farlig ud.,2,RebekkaR
Pair25,1,A,(0:01:19.3),Ja.,2,RebekkaR
Pair25,1,B,(0:01:20.4),"Det er øjnene, der gør det, synes jeg.",2,RebekkaR
Pair25,1,A,(0:01:22.3),"Ja, den er i hvert fald farlig. Så er spørgsmålet, om armene betyder, at den har noget.",2,RebekkaR
Pair25,1,B,(0:01:29.2),"Når ja, det kan selvfølgelig være. Ja for ellers så skulle det være de der prikker der.",2,RebekkaR
Pair25,1,A,(0:01:33.9),Ja.,2,RebekkaR
Pair25,1,B,(0:01:35.7),"Skal vi prøve at dræbe den og se, om det så er...? For så kan vi se med armene senere hen.",2,RebekkaR
Pair25,1,A,(0:01:39.6),Ja. Lad os prøve det.,2,RebekkaR
Pair25,1,B,(0:01:43.8),Så det må være armene så.,3,RebekkaR
Pair25,1,A,(0:01:45.5),Ja. Så dén der den er bare farlig.,3,RebekkaR
Pair25,1,B,(0:01:47.4),Ja. Det tror jeg også.,3,RebekkaR
Pair25,1,A,(0:01:48.7),Så den dræber vi.,3,RebekkaR
Pair25,1,A,(0:01:54.4),"Så den er... Den var venlig og havde noget i sig, ikke?",4,RebekkaR
Pair25,1,B,(0:02:00.7),"Når ja. Så skal vi bare have 2 igen, eller hvad?",4,RebekkaR
Pair25,1,A,(0:02:03.4),"Bare tap, ja.",4,RebekkaR
Pair25,1,A,(0:02:08.9),"Og dén der - den er venlig og har ikke noget i sig, så den er bare 1.",5,RebekkaR
Pair25,1,B,(0:02:11.9),Et.,5,RebekkaR
Pair25,1,A,(0:02:20.0),"Og det er den samme, ikke?",6,RebekkaR
