Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair5,1,A,(0:00:27),"Øh, den ser lidt ond ud",1,Rebekka K
Pair5,1,B,(0:00:28),"Ja, det vil jeg også sige",1,Rebekka K
Pair5,1,A,(0:00:30),Men hvordan det lige.. den har væske,1,Rebekka K
Pair5,1,B,(0:00:33),"Mmh, det er dét",1,Rebekka K
Pair5,1,B,(0:00:34),hmm.. tror du det kan være fordi den har de der prikker?,1,Rebekka K
Pair5,1,A,(0:00:38),"Ja, det kunne godt være en øh.. ja, det kunne godt være.. det kan være man skulle prøve at trykke 4 så",1,Rebekka K
Pair5,1,B,(0:00:43),Det gør vi.,1,Rebekka K
Pair5,1,A,(0:00:46),Neej..,1,Rebekka K
Pair5,1,B,(0:00:47),Ej..,1,Rebekka K
Pair5,1,A,(0:00:47),Destructive..,1,Rebekka K
Pair5,1,A,(0:00:50),Han har ikke nogle prikker.. Har han så væske? Det kan også være noget med farven at gøre,2,Rebekka K
Pair5,1,B,(0:00:54),"Ja, den blå farve",2,Rebekka K
Pair5,1,A,(0:00:56),Ja..,2,Rebekka K
Pair5,1,B,(0:00:56),Skal vi prøve igen?,2,Rebekka K
Pair5,1,A,(0:00:57),Ja.. Vi prøver igen. Han ser også ond ud.,2,Rebekka K
Pair5,1,A,(0:00:59),Nej.. friendly. Han så bare overhovedet ikke venlig ud,2,Rebekka K
Pair5,1,B,(0:01:06),"Nå, så prøver vi tre'eren, gør vi ikke det?",3,Rebekka K
Pair5,1,A,(0:01:10),Yes.. skide godt,3,Rebekka K
Pair5,1,A,(0:01:14),Han er også bare god. Eller hvad? Nej.. hvad for en farve havde den sidste?,4,Rebekka K
Pair5,1,B,(0:01:19),Også blå,4,Rebekka K
Pair5,1,A,(0:01:20),"Også blå. Han lignede lidt, gjorde han ikke?",4,Rebekka K
Pair5,1,B,(0:01:23),Skal vi ikke bare trykke 3?,4,Rebekka K
Pair5,1,A,(0:01:24),Jo.,4,Rebekka K
