Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair19,1,A,(0:00:46.5),"Der er ikke noget i dén der, er der det?",1,RebekkaR
Pair19,1,B,(0:00:49.5),Jamen kan man se det?,1,RebekkaR
Pair19,1,A,(0:00:51.1),"Jeg tænker bare, at der er et eller andet væske eller sådan. Men det finder vi selvfølgelig ud af.",1,RebekkaR
Pair19,1,B,(0:00:55.1),"Altså ja, kan vi ikke bare trykke 2, og så se om den har noget eller ikke har noget?",1,RebekkaR
Pair19,1,A,(0:01:01.0),"Jo, så slår vi den bare ihjel, men jo, lad os bare...",1,RebekkaR
Pair19,1,A,(0:01:15.7),"Er det så bare friendly, eller hvad?",2,RebekkaR
Pair19,1,B,(0:01:17.6),"Ja, det tænker jeg. Den ser jo ikke sådan farlig ud.",2,RebekkaR
Pair19,1,A,(0:01:22.4),Næh.,2,RebekkaR
Pair19,1,B,(0:01:33.7),"Den ser sådan lidt mere aggressiv ud på øjnene, men det ved jeg ikke. Det er bare fordi, vi har jo ikke fået noget af det der jelly ting endnu, vel?",3,RebekkaR
Pair19,1,A,(0:01:56.2),Nej.,3,RebekkaR
Pair19,1,B,(0:01:58.3),"Så vi ved faktisk ikke, hvordan den ser ud.",3,RebekkaR
Pair19,1,A,(0:02:03.1),"Når så vi får ekstra point for det der jelly, gjorde vi ikke det?",3,RebekkaR
Pair19,1,B,(0:02:05.7),Jo det tror jeg.,3,RebekkaR
Pair19,1,A,(0:02:07.4),Nej det ved vi så ikke.,3,RebekkaR
Pair19,1,B,(0:02:08.1),"Så ved vi ikke, hvordan den ser ud. Så dén der... Skal vi slå den ihjel og se, om den har noget? Altså trykke 4?",3,RebekkaR
Pair19,1,A,(0:02:17.1),Når ja.,3,RebekkaR
Pair19,1,B,(0:02:26.0),"Den er vel også meget venlig, er den ikke det?",4,RebekkaR
Pair19,1,A,(0:02:28.9),"Den tappede vi, gjorde vi ikke det?",4,RebekkaR
Pair19,1,B,(0:02:30.4),Det tror jeg.,4,RebekkaR
Pair19,1,A,(0:02:37.8),"Så det er i forhold også til farverne, eller hvad?",5,RebekkaR
Pair19,1,B,(0:02:40.1),Måske.,5,RebekkaR
Pair19,1,A,(0:02:45.6),"Så skal dén der slås ihjel, hvis det er.",5,RebekkaR
Pair19,1,B,(0:02:47.3),Ja.,5,RebekkaR
Pair19,1,A,(0:03:03.0),Og dén der...,6,RebekkaR
Pair19,1,B,(0:03:07.7),"Skal den ikke... Er den farlig? Altså den er jo ikke lige så farlig, som den vi havde før.",6,RebekkaR
Pair19,1,A,(0:03:22.1),"Nej. Jeg ved sgu ikke, om vi skal tappe den, eller om man skal...",6,RebekkaR
Pair19,1,B,(0:03:46.3),Skal vi ikke bare prøve det?,6,RebekkaR
Pair19,1,A,(0:03:47.4),Skal vi prøve at tappe den?,6,RebekkaR
Pair19,1,B,(0:03:48.1),Ja. 2. ,6,RebekkaR
Pair19,1,A,(0:04:02.4),Er det så ikke også bare ignore?,7,RebekkaR
Pair19,1,B,(0:04:03.7),Jo.,7,RebekkaR
Pair19,1,B,(0:04:09.5),Okay den skal vi også ignorere.,8,RebekkaR
Pair19,1,A,(0:04:10.2),Ja.,8,RebekkaR
Pair19,1,A,(0:04:14.6),Og ignorere igen.,9,RebekkaR
Pair19,1,A,(0:04:23.7),"Den har vi haft, har vi ikke det? Blev den ikke tappet, eller hvad?",10,RebekkaR
