Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair18,1,A,(0:00:36.3),Den ser pænt skummel ud.,1,RebekkaR
Pair18,1,B,(0:00:38.0),"Ja, så lad os sige den er det. ",1,RebekkaR
Pair18,1,A,(0:00:39.4),Skal vi dræbe den?,1,RebekkaR
Pair18,1,B,(0:00:40.1),Ja.,1,RebekkaR
Pair18,1,B,(0:00:45.7),Nå den havde begge dele.,2,RebekkaR
Pair18,1,A,(0:00:47.9),Den havde sådan to farver og så ,2,RebekkaR
Pair18,1,B,(0:00:49.9),Den ser også vredere ud   den anden.,2,RebekkaR
Pair18,1,A,(0:00:51.3),"Ja. Men jeg ved ikke, om den er ond så? Den anden var den ikke også grøn?",2,RebekkaR
Pair18,1,B,(0:00:58.7),Jo.,2,RebekkaR
Pair18,1,A,(0:00:59.8),Grøn og plettet og halv(?). Skal vi sige vi både skal tappe og dræbe den?,2,RebekkaR
Pair18,1,B,(0:01:04.3),Det kan vi godt.,2,RebekkaR
Pair18,1,B,(0:01:10.4),Dén der har ingen pletter.,3,RebekkaR
Pair18,1,A,(0:01:13.4),Skal vi bare tappe den?,3,RebekkaR
Pair18,1,B,(0:01:15.3),Så tapper vi den bare.,3,RebekkaR
Pair18,1,B,(0:01:22.5),Og sådan nogle der øjne havde den anden også. Så dén der er nok ond. Skal vi ikke prøve det?,4,RebekkaR
Pair18,1,A,(0:01:27.8),Tror du den skal tappes også?,4,RebekkaR
Pair18,1,B,(0:01:30.9),Det tror jeg ikke.,4,RebekkaR
Pair18,1,A,(0:01:31.7),"Det tror du ikke? Okay, så tager vi 3'eren.",4,RebekkaR
Pair18,1,B,(0:01:43.3),Dén der ser da meget sød ud.,5,RebekkaR
Pair18,1,A,(0:01:44.2),"Den ser sød ud, ja.",5,RebekkaR
Pair18,1,B,(0:01:44.9),"Den har så både pletter, armene nedad, og så de der øjne.",5,RebekkaR
Pair18,1,A,(0:01:50.3),Jeg tror vi skal tappe den.,5,RebekkaR
Pair18,1,B,(0:01:51.2),Mmm.,5,RebekkaR
Pair18,1,A,(0:01:58.0),"Så arme i vejret er onde, måske.",6,RebekkaR
Pair18,1,B,(0:01:59.1),"Armene i vejret og de der øjne og pletter   det var den første vi havde, ikke? Der skulle vi både tappe og slå ihjel.",6,RebekkaR
Pair18,1,B,(0:02:10.8),"Armene oppe, men har de venlig øjne.",7,RebekkaR
Pair18,1,A,(0:02:17.0),Så den skal tappes.,7,RebekkaR
Pair18,1,B,(0:02:19.7),Skulle den tappes?,7,RebekkaR
Pair18,1,A,(0:02:20.4),Ja den med armene nede den skulle vi ignorere.,7,RebekkaR
Pair18,1,B,(0:02:22.2),Ja.,7,RebekkaR
Pair18,1,A,(0:02:29.9),Armene nede   men den ser altså også lidt ond ud.,8,RebekkaR
Pair18,1,B,(0:02:32.8),"Skal vi prøve at ignorere den, bare fordi den har armene nede? Og se hvad der sker?",8,RebekkaR
Pair18,1,A,(0:02:37.2),Det kan vi godt prøve.,8,RebekkaR
Pair18,1,B,(0:02:43.0),"Dén der det var den, der var ond.",9,RebekkaR
Pair18,1,A,(0:02:44.3),Ja.,9,RebekkaR
Pair18,1,B,(0:02:45.0),Den skulle både tappes og skydes.,9,RebekkaR
Pair18,1,A,(0:02:46.0),Ja.,9,RebekkaR
Pair18,1,B,(0:02:52.0),Og dén der har armene nede.,10,RebekkaR
Pair18,1,A,(0:02:52.9),Så den skal ignoreres.,10,RebekkaR
Pair18,1,B,(0:03:01.7),Er det noget med pletterne så? Dén der har ,11,RebekkaR
Pair18,1,A,(0:03:07.0),"Den synes jeg også vi skulle ignorere. Den passer med vores gamle strategi, men ",11,RebekkaR
Pair18,1,B,(0:03:14.9),Jamen det er nok fordi der er nogle flere kombinationer af det. Skal vi ikke prøve at ignorere den der?,11,RebekkaR
Pair18,1,A,(0:03:20.7),Jo.,11,RebekkaR
Pair18,1,A,(0:03:26.4),Og det samme igen.,12,RebekkaR
Pair18,1,A,(0:03:32.6),"Så hvis den ser ond ud og har armene nede, så kan det godt være, vi skal dræbe den (?uden at tage noget?).",13,RebekkaR
Pair18,1,B,(0:03:36.4),Nu har den så pletter og har armene nede.,13,RebekkaR
Pair18,1,A,(0:03:38.6),Det synes jeg også vi har sagt før   at den var venlig. Bare ignorer?,13,RebekkaR
Pair18,1,B,(0:03:43.3),Jamen hvad så dem vi bare skulle tappe   hvordan var det de så ud?,13,RebekkaR
Pair18,1,A,(0:03:48.4),De havde armene oppe   i hvert fald de fleste af dem.,13,RebekkaR
Pair18,1,B,(0:03:52.1),Okay.,13,RebekkaR
Pair18,1,A,(0:03:58.5),Den skal vi tappe.,14,RebekkaR
Pair18,1,B,(0:04:00.4),Ja.,14,RebekkaR
Pair18,1,A,(0:04:06.4),"Og den har så ingen pletter. Men jeg ved ikke helt, hvad det betyder.",15,RebekkaR
Pair18,1,B,(0:04:14.8),"Vi har jo ikke prøvet det der med, at vi bare skulle slå dem ihej, endnu.",15,RebekkaR
Pair18,1,A,(0:04:17.5),Nej.,15,RebekkaR
Pair18,1,B,(0:04:18.2),"Tror du ikke, det er det?",15,RebekkaR
Pair18,1,A,(0:04:18.9),Så prøv at slå den ihjel.,15,RebekkaR
Pair18,1,A,(0:04:21.9),"Den skulle tappes. Så har det nok ikke noget med pletterne at gøre. Så er spørgsmålet: skal den ignoreres, eller skal den dræbes?",16,RebekkaR
Pair18,1,B,(0:04:31.9),Måske hvis den har armene nede og har de venlige øjne   så skal den ignoreres. Men hvis den har armene nede og har de sure øjne så skal den nok bare slås ihjel.,16,RebekkaR
Pair18,1,A,(0:04:41.1),Ja.,16,RebekkaR
Pair18,1,A,(0:04:47.9),"Så er armene nede altså bare ignorer, tror jeg. Vi prøver at ignorere den.",17,RebekkaR
Pair18,1,B,(0:04:52.2),Ja.,17,RebekkaR
Pair18,1,A,(0:04:57.1),Og tappe.,18,RebekkaR
Pair18,1,B,(0:04:58.6),Okay.,18,RebekkaR
Pair18,1,B,(0:05:00.3),Hvordan så du det?,19,RebekkaR
Pair18,1,A,(0:05:02.5),Arme opad og var sød.,19,RebekkaR
Pair18,1,B,(0:05:05.6),Arme nede og sur. Jeg er fuldstændig forvirret.,19,RebekkaR
Pair18,1,A,(0:05:10.8),Ja det er en mærkelig én. Men jeg tror vi skal ignorere den.,19,RebekkaR
Pair18,1,B,(0:05:14.7),"Okay, så prøver vi det.",19,RebekkaR
Pair18,1,A,(0:05:24.2),Den vil jeg tappe.,20,RebekkaR
Pair18,1,B,(0:05:25.4),Ja.,20,RebekkaR
Pair18,1,B,(0:05:27.9),"Jeg kan slet ikke huske vores systemer længere; for der må vel også være noget med, om den er blå eller grøn?",21,RebekkaR
Pair18,1,A,(0:05:32.1),Ja det synes jeg nemlig ikke der er. Det kan være det kommer senere.,21,RebekkaR
Pair18,1,B,(0:05:36.5),Armene nede...,21,RebekkaR
Pair18,1,A,(0:05:40.9),Den skal ignoreres hvis det var det samme som sidste gang.,21,RebekkaR
Pair18,1,B,(0:05:42.7),Jamen nu har den pletter. Skal den så ikke slås ihjel? Det har vi ikke prøvet endnu.,21,RebekkaR
