Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair20,1,A,(0:00:37.0),"I would go for 4 here, probably.",1,RebekkaR
Pair20,1,B,(0:00:42.1),Okay så pletter har den (?),2,RebekkaR
Pair20,1,A,(0:00:44.7),"Når ja, sorry, dansk.",2,RebekkaR
Pair20,1,B,(0:00:45.3),Og dét der det er nok 3.,2,RebekkaR
Pair20,1,B,(0:00:56.9),Så den gule var venlig. Og den med pletterne havde jelly.,3,RebekkaR
Pair20,1,A,(0:01:00.3),Ja. Jeg tænker også stoerrelsesmæssigt   at kunne den ikke godt være friendly? At den ville ikke skræmme mig.,3,RebekkaR
Pair20,1,B,(0:01:07.1),Altså vi kan prøve.,3,RebekkaR
Pair20,1,A,(0:01:08.8),Ja.,3,RebekkaR
Pair20,1,B,(0:01:14.8),Var den ikke også friendly? Hvis den var gul?,4,RebekkaR
Pair20,1,A,(0:01:18.9),"Jo prøv. Jeg ved ikke, hvor meget farver afgør.",4,RebekkaR
Pair20,1,B,(0:01:22.7),"Så er der jelly. Når den er gul. Øhm, dén der skulle vi ",5,RebekkaR
Pair20,1,A,(0:01:29.9),"Den var dårlig sidst. Lad os prøve 3 igen og se, hvad der sker.",5,RebekkaR
Pair20,1,A,(0:01:38.0),"Jeg ved ikke   jeg tror ikke, der er noget system i det.",6,RebekkaR
Pair20,1,B,(0:01:40.4),"Var det ikke den samme, som vi havde lige før?",6,RebekkaR
Pair20,1,A,(0:01:41.9),Jo det tænkte jeg også.,6,RebekkaR
Pair20,1,B,(0:01:42.6),Skal vi prøve 4?,6,RebekkaR
Pair20,1,A,(0:01:43.4),Ja prøv 4.,6,RebekkaR
Pair20,1,B,(0:01:45.9),Så blå med pletter.,7,RebekkaR
Pair20,1,A,(0:01:47.2),Ja.,7,RebekkaR
Pair20,1,B,(0:01:48.9),"Dén der den havde jelly, havde den ikke?",7,RebekkaR
Pair20,1,A,(0:01:50.6),"Jo, sådan husker jeg det også.",7,RebekkaR
Pair20,1,B,(0:01:52.0),Eller var den venlig?,7,RebekkaR
Pair20,1,B,(0:02:07.3),Altså umiddelbart ville jeg enten gætte 4 eller 2.,8,RebekkaR
Pair20,1,A,(0:02:11.9),Jeg vil prøve en 2'er der.,8,RebekkaR
Pair20,1,B,(0:02:16.7),"Så det var farven der betød noget mere, end hvordan de ser ud.",9,RebekkaR
Pair20,1,A,(0:02:19.1),Ja.,9,RebekkaR
Pair20,1,B,(0:02:24.9),"Altså den ser venlig ud. Og den ser ikke umiddelbart ud som om, den har jelly, fordi den er gul. Så 1.",9,RebekkaR
Pair20,1,A,(0:02:31.3),Ja.,9,RebekkaR
Pair20,1,B,(0:02:39.6),Fire.,10,RebekkaR
Pair20,1,A,(0:02:40.2),"Ja, fire.",10,RebekkaR
Pair20,1,B,(0:02:48.1),Et eller to. Hvad tror du?,11,RebekkaR
Pair20,1,A,(0:02:53.4),Lad os prøve 1'eren.,11,RebekkaR
Pair20,1,B,(0:02:57.7) ,Men (?) de kan både være venlig og have substansen. Er det ikke den samme som før?,12,RebekkaR
Pair20,1,A,(0:03:03.8),Jo det ligner det. Prøv 1 igen.,12,RebekkaR
Pair20,1,A,(0:03:09.8),"Ja det var den igen, ikke?",13,RebekkaR
Pair20,1,A,(0:03:16.5),"Var den ikke uvenl  nej det var den vi trøde, var dårlig, men i virkeligheden var god. Er det ikke en 2'er?",14,RebekkaR
Pair20,1,B,(0:03:23.1),Vi kan prøve.,14,RebekkaR
Pair20,1,B,(0:03:29.8),"Et, vil jeg gætte på. Enten 1 eller 2. Fordi den har ikke pletterne, som den anden havde.",15,RebekkaR
Pair20,1,A,(0:03:34.5),Nej det er selvfølgelig rigtigt. Omvendt har vi ikke haft meget held ved de blå.,15,RebekkaR
Pair20,1,B,(0:03:37.5),"Nej, det er rigtigt. Derfor jeg lader dig tage beslutningen.",15,RebekkaR
Pair20,1,A,(0:03:44.7),Skal vi så ikke prøve en 4'er?,15,RebekkaR
Pair20,1,B,(0:03:55.0),Skal vi prøve 4 der?,16,RebekkaR
Pair20,1,A,(0:03:56.7),Ja jeg synes den ser lidt ond ud.,16,RebekkaR
Pair20,1,B,(0:04:07.0),To?,17,RebekkaR
Pair20,1,A,(0:04:07.7),"Ja, prøv det.",17,RebekkaR
Pair20,1,A,(0:04:15.1),"Var det ikke den, der var venlig også? Jo, prøv en 1'er.",18,RebekkaR
Pair20,1,A,(0:04:34.3),"Kan den være venlig? Eller er det mig, der husker helt forkert?",19,RebekkaR
Pair20,1,A,(0:04:44.7),"Og den blå der også manglede prikker, var det ikke den, der var venlig? Skal vi ikke prøve bare at trykke venlig? Eller omvendt, der er noget over øjnene.",20,RebekkaR
Pair20,1,B,(0:04:51.0),Over øjnene?,20,RebekkaR
Pair20,1,A,(0:04:51.7),"Nej øjnene er ændret, så det kan godt være, det ",20,RebekkaR
Pair20,1,B,(0:04:53.8),Jeg synes den ser venligere ud nu. End den har gjort tidligere.,20,RebekkaR
Pair20,1,A,(0:04:57.1),"Ja, præcis.",20,RebekkaR
