Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair26,1,A,(0:00:32.8),Den har prikker.,1,RebekkaR
Pair26,1,B,(0:00:35.1),Ja...,1,RebekkaR
Pair26,1,A,(0:00:35.4),Tykke arme.,1,RebekkaR
Pair26,1,B,(0:00:38.3),Jeg ville gætte på en 4'er.,1,RebekkaR
Pair26,1,A,(0:00:40.0),Ja.,1,RebekkaR
Pair26,1,A,(0:00:49.6),"Skal vi så ikke gætte på, at ham der bare skal dræbes?",2,RebekkaR
Pair26,1,B,(0:00:51.9),Jo.,2,RebekkaR
Pair26,1,A,(0:00:58.7),"Så prikker er farlige, og muskler er-",3,RebekkaR
Pair26,1,B,(0:01:03.2),Ja prikker er farlige.,3,RebekkaR
Pair26,1,A,(0:01:03.7),Det må være en 4'er denne her. Nu er der også en farve. Nå. Prøv en 4'er.,3,RebekkaR
Pair26,1,B,(0:01:07.8),Ja.,3,RebekkaR
Pair26,1,A,(0:01:11.9),"Prikker er farlige, muskler er godt.",4,RebekkaR
Pair26,1,B,(0:01:13.7),Så muskler er godt.,4,RebekkaR
Pair26,1,B,(0:01:20.0),"Okay. Muskler er dårlige, prikker er farlige. Så bare dræb.",5,RebekkaR
Pair26,1,A,(0:01:22.1),-tre.,5,RebekkaR
Pair26,1,B,(0:01:29.9),Prikker er farlige. Muskler er godt. Så skal vi prøve at dræbe den?,6,RebekkaR
Pair26,1,A,(0:01:32.4),Ja prøv det.,6,RebekkaR
Pair26,1,A,(0:01:37.6),Det kan være det spiller sammen i kombinationen. Prøv en 1'er denne her gang så. Vi har ignoreret farven indtil videre.,7,RebekkaR
Pair26,1,B,(0:01:43.9),Ja.,7,RebekkaR
Pair26,1,B,(0:01:47.7),"Ja okay, så muskler indtil videre er godt. Er det ikke bare en god en igen?",8,RebekkaR
Pair26,1,A,(0:01:52.8),Jo.,8,RebekkaR
Pair26,1,B,(0:01:58.0),God igen.,9,RebekkaR
Pair26,1,A,(0:01:59.9),Ja.,9,RebekkaR
Pair26,1,B,(0:02:05.6),Og så muskler det var godt - er vi ikke enige om det?,10,RebekkaR
Pair26,1,A,(0:02:07.8),Jo. Det var sådan- (?jeg tror dén der?).,10,RebekkaR
Pair26,1,B,(0:02:09.6),Skal vi prøve en tap? En 2'er eller en 4'er - er det ikke det?,10,RebekkaR
Pair26,1,A,(0:02:13.6),Jo men 4'eren det var hvor den havde begge dele ,10,RebekkaR
Pair26,1,B,(0:02:16.0),Ja. Skal vi ikke prøve 2'er så?,10,RebekkaR
Pair26,1,A,(0:02:18.3),"Jo prøv den lige. Der var en af dem, der var noget rod ved. Dén er fin nok. Så er det den med lave arme og prikker, som ikke er kill.",10,RebekkaR
Pair26,1,B,(0:02:25.6),Så han er bare tap igen?,11,RebekkaR
