Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair2,1,A,(0:00:41.6),"Jeg tænker lidt, den kan være begge dele.",1,Rebekka R
Pair2,1,B,(0:00:43.3),Ja.,1,Rebekka R
Pair2,1,A,(0:00:44.3),På grund af tænderne.,1,Rebekka R
Pair2,1,B,(0:00:45.3),Ja. Og musklerne.,1,Rebekka R
Pair2,1,A,(0:00:46.6),Ja.,1,Rebekka R
Pair2,1,B,(0:00:47.6),Men den er rimelig neutral i farve.,1,Rebekka R
Pair2,1,A,(0:00:49.8),"Ja, og øjnene de gør den lidt glad.",1,Rebekka R
Pair2,1,B,(0:00:52.0),Ja. Så det kunne være en 4'er.,1,Rebekka R
Pair2,1,A,(0:00:55.0),Skal vi prøve en 4'er?,1,Rebekka R
Pair2,1,B,(0:00:55.5),Ja.,1,Rebekka R
Pair2,1,A,(0:01:01.0),Den er i hvert fald ond.,2,Rebekka R
Pair2,1,B,(0:01:02.1),Den skal bare ,2,Rebekka R
Pair2,1,A,(0:01:03.6),Den skal 3.,2,Rebekka R
Pair2,1,B,(0:01:04.5),"3'er, ikk'?",2,Rebekka R
Pair2,1,A,(0:01:11.7),"Okay. Den er i hvert fald ikke farlig, tænker jeg. ",3,Rebekka R
Pair2,1,B,(0:01:15.8),Nej vel?,3,Rebekka R
Pair2,1,A,(0:01:16.3),Nej.,3,Rebekka R
Pair2,1,B,(0:01:17.3),Det virker også til so far har alle haft de tænder.,3,Rebekka R
Pair2,1,A,(0:01:20.4),Ja. Så det har ikke noget med det at gøre.,3,Rebekka R
Pair2,1,B,(0:01:21.7),Ikke umiddelbart.,3,Rebekka R
Pair2,1,A,(0:01:22.8),"Jeg forstår ikke, at den der forrige ikke var farlig.",3,Rebekka R
Pair2,1,B,(0:01:24.7),Nej.,3,Rebekka R
Pair2,1,A,(0:01:25.9),Er den neutral eller er den god?,3,Rebekka R
Pair2,1,B,(0:01:27.9),Det kunne de andre (?).,3,Rebekka R
Pair2,1,A,(0:01:29.8),"Ja de kan være gode, fordi de måske ser stærke ud.",3,Rebekka R
