Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair14,1,A,(0:00:29.1),Den ser ond ud i hvert fald.,1,RebekkaR
Pair14,1,B,(0:00:30.6),Ja.,1,RebekkaR
Pair14,1,A,(0:00:33.0),Men den er også meget farverig på en eller anden måde.,1,RebekkaR
Pair14,1,B,(0:00:34.6),Ja. Skal vi trykke 4?,1,RebekkaR
Pair14,1,A,(0:00:37.0),Det synes jeg vi skal.,1,RebekkaR
Pair14,1,B,(0:00:46.4),Er det en ny én?,2,RebekkaR
Pair14,1,A,(0:00:49.5),"Den havde de samme øjne før, ikke   eller undskyld arme. Men det er bare øjnene, der er anderledes denne her gang, er det ikke?",2,RebekkaR
Pair14,1,B,(0:00:55.3),Jo. Skal vi trykke 1? Friendly?,2,RebekkaR
Pair14,1,A,(0:01:01.7),"Jo, lad os prøve det.",2,RebekkaR
Pair14,1,A,(0:01:05.6),Okay de grønne er i hvert fald venlige.,3,RebekkaR
Pair14,1,B,(0:01:07.4),Ja.,3,RebekkaR
Pair14,1,A,(0:01:08.2),"Og denne her er ligesom den første   den har bare, øh ",3,RebekkaR
Pair14,1,B,(0:01:12.4),Ja. Hvad skal vi trykke? Ond? Jeg synes den er ond.,3,RebekkaR
Pair14,1,A,(0:01:21.0),Ja hvis vi har 96 så skal vi nok indrette os. Så du synes den er ond? Mon ikke den er det.,3,RebekkaR
Pair14,1,B,(0:01:37.3),Jeg tror den har noget. Den er sådan stærk.,4,RebekkaR
Pair14,1,A,(0:01:40.7),Jamen det kan vi ,4,RebekkaR
Pair14,1,B,(0:01:44.8),"Ja. Så 4? Nej, nej den ser også god ud. Eller hvad? 2?",4,RebekkaR
Pair14,1,A,(0:01:49.8),"De grønne var gode, ikke?",4,RebekkaR
Pair14,1,B,(0:01:53.0),Jo. Og dem med pletter var dårlige   men den har de gode øjne. Jeg ved det ikke.,4,RebekkaR
Pair14,1,A,(0:02:00.9),"Jamen vi må bare prøve os frem. Skal vi sige den måske er ond. Fordi den ikke er grøn, måske. Men den har kræfter. Fordi den er stærk.",4,RebekkaR
Pair14,1,B,(0:02:09.4),"Ja... Jeg synes den er god, fordi den har de gode øjne.",4,RebekkaR
Pair14,1,A,(0:02:15.6),"Jo, jamen, jo.",4,RebekkaR
Pair14,1,B,(0:02:18.1),Så jeg ville sige 2.,4,RebekkaR
Pair14,1,A,(0:02:19.2),Jamen vi kan godt prøve 2 og se hvad det er.,4,RebekkaR
Pair14,1,B,(0:02:27.9),"Onde øjne, armene nede, knyttede hænder.",5,RebekkaR
Pair14,1,A,(0:02:35.8),"Det kan være, det er 4'eren så, måske.",5,RebekkaR
Pair14,1,B,(0:02:37.2),Ja.,5,RebekkaR
Pair14,1,A,(0:02:49.3),Dén er stærk. Og har pletter.,6,RebekkaR
Pair14,1,B,(0:02:51.1),Og ond   pletter. Fire.,6,RebekkaR
Pair14,1,B,(0:03:00.1),Den er god.,7,RebekkaR
Pair14,1,A,(0:03:02.2),Ja.,7,RebekkaR
Pair14,1,B,(0:03:02.4),Jeg ville sige 1.,7,RebekkaR
Pair14,1,A,(0:03:04.2),Ja. Den er ikke stærk eller noget.,7,RebekkaR
Pair14,1,A,(0:03:13.9),To. Måske. Den har de gode øjne.,8,RebekkaR
Pair14,1,B,(0:03:17.0),Ja. Det er rigtigt.,8,RebekkaR
Pair14,1,B,(0:03:25.7),"Jeg ville sige 1. God, men ikke noget.",9,RebekkaR
Pair14,1,A,(0:03:28.1),Ja.,9,RebekkaR
Pair14,1,B,(0:03:34.1),Den er ond og så har et eller andet.,10,RebekkaR
Pair14,1,A,(0:03:37.9),Ja. Fire.,10,RebekkaR
Pair14,1,B,(0:03:50.4),Der ville jeg også sige 4. Ond men værdifuld.,11,RebekkaR
Pair14,1,A,(0:03:54.0),Ja.,11,RebekkaR
Pair14,1,A,(0:04:12.2),Ond  men den er jo også...,12,RebekkaR
Pair14,1,B,(0:04:15.7),Jeg ville sige 4 igen. Ond og værdifuld.,12,RebekkaR
Pair14,1,A,(0:04:19.6),"Ja. Og var det fordi den var grøn før, tror du? Gjorde det nogen forskel i starten? Der var en masse grønne i starten, der var gode i hvert fald. Men kan du huske om den første blå var anderledes?",12,RebekkaR
Pair14,1,B,(0:04:31.5),"Nej, det kan jeg ikke huske. Jeg har mest kigget efter øjnene.",12,RebekkaR
