Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair1,0,A,(0:00:26.8),Jeg tror det er lidt svært at (?),1,Rebekka R
Pair1,0,B,(0:00:26.8),Jeg tror det er (?),1,Rebekka R
Pair1,0,A,(0:00:28.4),"Ja, det tænkte jeg også.",1,Rebekka R
Pair1,0,B,(0:00:29.1),ikk?,1,Rebekka R
Pair1,0,A,(0:00:29.5),Jo.,1,Rebekka R
Pair1,0,B,(0:00:29.6),"Fordi det kan godt være den har tænder, men den er ser alligevel ikke sådan så skrap ud. Farven er ikke så skrap. Jeg tror heller ikke den har nogen værdi.",1,Rebekka R
Pair1,0,A,(0:00:38.0),"Det er svært at sige, seriøst. Nej, det tror jeg du har ret i.",1,Rebekka R
Pair1,0,B,(0:00:46.8),Sådan.,2,Rebekka R
Pair1,0,A,(0:00:49.4),"Okay det kan jo umuligt være nemt, det der.",2,Rebekka R
Pair1,0,B,(0:00:52.0),Den er ond.,2,Rebekka R
Pair1,0,A,(0:00:52.3),Den har fået øjne. Havde den det før?,2,Rebekka R
Pair1,0,B,(0:00:54.7),"Mmm. Det kan jeg ikke  ja, det  den har nogle andre øjne.",2,Rebekka R
Pair1,0,A,(0:00:57.2),Okay...,2,Rebekka R
Pair1,0,B,(0:00:58.1),Den har sådan nogle dutter.,2,Rebekka R
Pair1,0,A,(0:00:58.8),Dutter? Super.,2,Rebekka R
Pair1,0,B,(0:01:00.4),Ja. Den er ond fordi den har gule øjne.,2,Rebekka R
Pair1,0,A,(0:01:04.6),"Ja. Det virker heller ikke som noget vi skal spise, det der. ",2,Rebekka R
Pair1,0,B,(0:01:09.2),Nej. Nej jeg tror bare den er ond. Ikk'?,2,Rebekka R
Pair1,0,A,(0:01:11.4),Jo.,2,Rebekka R
Pair1,0,B,(0:01:11.8),Ja. Hvad er det?,2,Rebekka R
Pair1,0,A,(0:01:12.9) ,Det er 3.,2,Rebekka R
Pair1,0,B,(0:01:12.9),3,2,Rebekka R
Pair1,0,B,(0:01:15.7),Hvor er vi gode!,3,Rebekka R
Pair1,0,A,(0:01:16.0),Uha. Den ser tyk ud.,3,Rebekka R
Pair1,0,B,(0:01:21.9) ,Ja.,3,Rebekka R
Pair1,0,A,(0:01:22.2),Den har ikke nogen pletter. Det havde de andre.,3,Rebekka R
Pair1,0,B,(0:01:23.7),Ja. Jeg tænker også: hvad var forskellen på den lille og den anden. Men tror du så den har...?,3,Rebekka R
Pair1,0,A,(0:01:31.0),Jeg tror det er en 4'er.,3,Rebekka R
Pair1,0,B,(0:01:33.2),"En, der også har værdi?",3,Rebekka R
Pair1,0,A,(0:01:34.5) ,Ja.,3,Rebekka R
Pair1,0,B,(0:01:35.1),"Hvad er det der? Det  er det sådan noget, sådan en... Hva hva  hvad står den der for? ",3,Rebekka R
Pair1,0,A,(0:01:39.4),Den der?,3,Rebekka R
Pair1,0,B,(0:01:40.1) ,"Ja, nej. Den der.",3,Rebekka R
Pair1,0,A,(0:01:41.6) ,"Det er hvor du bare... Det var det der, hvor du sugede noget, noget næring ud af den.",3,Rebekka R
Pair1,0,B,(0:01:45.0),"Okay. Jeg synes bare ikke den der ser ud som om, man skal suge næring ud. Ej vi går med din idé. Vi prøver 4.",3,Rebekka R
Pair1,0,B,(0:01:52.7),Failure!,4,Rebekka R
Pair1,0,A,(0:01:53.9),Orw...,4,Rebekka R
Pair1,0,B,(0:02:01.5) ,Den er sød...,4,Rebekka R
Pair1,0,A,(0:02:02.5),Det er sådan en man har lyst til at sætte som profil billede på Facebook.,4,Rebekka R
Pair1,0,B,(0:02:05.4),Den er sød. ,4,Rebekka R
Pair1,0,A,(0:02:06.1),Ja.,4,Rebekka R
Pair1,0,B,(0:02:06.8),Ikk'?,4,Rebekka R
Pair1,0,B,(0:02:08.9),Yes...,5,Rebekka R
