Pair,Session,Interlocutor,Initial time,Transcription,Joint decision,Transcriber
Pair17,1,A,(0:00:53.2),"Tror du ikke, det er en 2'er, det her?",1,RebekkaR
Pair17,1,B,(0:00:54.3),"Jo, det tænkte jeg nemlig også.",1,RebekkaR
Pair17,1,A,(0:01:05.0),Jeg tænker en 4'er. Eller hvad tænker du? Eller 2?,2,RebekkaR
Pair17,1,B,(0:01:07.4),Nej jeg tror ikke det er en 2'er. Men ja jeg tror 4 måske.,2,RebekkaR
Pair17,1,A,(0:01:12.0),"Fordi jeg tænker at hvis den har store muskler så har den måske noget, vi godt kunne bruge.",2,RebekkaR
Pair17,1,B,(0:01:15.5),"Ja, nemlig.",2,RebekkaR
Pair17,1,B,(0:01:22.0),Okay den ser altså ikke god ud.,3,RebekkaR
Pair17,1,A,(0:01:23.2),Nej. Tænker vi 3'er? Tror du den har noget i sig?,3,RebekkaR
Pair17,1,B,(0:01:30.2),"Altså nu havde den anden jo ikke noget i sig. (?) de der pletter. Så det kunne være, at dén der har   måske.",3,RebekkaR
Pair17,1,A,(0:01:37.6),Skal vi prøve 4'eren?,3,RebekkaR
Pair17,1,B,(0:01:38.2),Ja.,3,RebekkaR
Pair17,1,A,(0:01:45.5),Var det ikke ligesom 1'eren bare med pletter på?,4,RebekkaR
Pair17,1,B,(0:01:47.7),Jo.,4,RebekkaR
Pair17,1,A,(0:01:56.0),"Den skal i hvert fald ikke dræbes, dén der. Den er 2'er eller 4'er dén der.",4,RebekkaR
Pair17,1,B,(0:01:58.6),"Ja. Jeg har lyst til at prøve 4'eren igen, men...",4,RebekkaR
Pair17,1,A,(0:02:04.0),Så gør det.,4,RebekkaR
Pair17,1,B,(0:02:04.8),Skal vi gøre det?,4,RebekkaR
Pair17,1,A,(0:02:05.1),Ja.,4,RebekkaR
Pair17,1,B,(0:02:23.0),"Altså jeg synes den ser ond ud, dén der. Men det er på grund af øjnene.",5,RebekkaR
Pair17,1,A,(0:02:33.3),"Jeg tror det er en 3'er. Jeg tror ikke, vi kan bruge dem med pletterne. Dem tror jeg har et eller andet i sig, som vi ikke kan bruge.",5,RebekkaR
Pair17,1,B,(0:02:36.5),Ja.,5,RebekkaR
Pair17,1,A,(0:02:41.7),Den har ingen pletter.,6,RebekkaR
Pair17,1,B,(0:02:42.2),"Nej. Og den er næsten ligesom den første, er den ikke det?",6,RebekkaR
Pair17,1,A,(0:02:46.2),Men den ser sur ud. Så vi skal tage en 4'er?,6,RebekkaR
Pair17,1,B,(0:02:49.1),Ja.,6,RebekkaR
Pair17,1,B,(0:03:04.7),"Jeg kan huske vi havde haft en blå, som ikke var en 4'er i hvert fald. Men det var nogle andre øjne.",7,RebekkaR
Pair17,1,A,(0:03:09.9),Hvad har det at sige at de er slappe og ikke slappe...,7,RebekkaR
Pair17,1,B,(0:03:15.9),"Altså den har jo ingen muskler, f.eks. Det kan være vi bare skal ",7,RebekkaR
Pair17,1,A,(0:03:18.4), tage 3.,7,RebekkaR
Pair17,1,B,(0:03:19.3),Ja.,7,RebekkaR
Pair17,1,B,(0:03:28.8),Den har vi haft før næsten   uden pletter.,8,RebekkaR
Pair17,1,A,(0:03:34.3),Den ser bare så sur ud. Hvad tænker du?,8,RebekkaR
Pair17,1,B,(0:03:40.4),1 eller 3   fordi vi har ikke prøvet den der 1'er endnu.,8,RebekkaR
Pair17,1,A,(0:03:47.8),"Ah ja, det kunne den godt være.",8,RebekkaR
Pair17,1,A,(0:03:49.3),De der slappe kunne godt være neutrale så. Dén der tror jeg er en 4'er.,9,RebekkaR
Pair17,1,B,(0:03:54.7),Ja.,9,RebekkaR
Pair17,1,A,(0:04:02.3),Tror du så det er en 1'er?,10,RebekkaR
Pair17,1,B,(0:04:03.3),Ja.,10,RebekkaR
Pair17,1,B,(0:04:10.2),2'er?,11,RebekkaR
Pair17,1,A,(0:04:10.4),2'er.,11,RebekkaR
Pair17,1,B,(0:04:17.4),3'er.,12,RebekkaR
Pair17,1,A,(0:04:18.0),Ja.,12,RebekkaR
Pair17,1,A,(0:04:27.0),3'er vil jeg umiddelbart sige.,13,RebekkaR
Pair17,1,B,(0:04:28.7),Ja.,13,RebekkaR
Pair17,1,A,(0:04:35.6),Når... Vi skal læse teksten!,14,RebekkaR
Pair17,1,B,(0:04:37.8),Når! Det står der? Okay.,14,RebekkaR
Pair17,1,A,(0:04:42.4),"1'er, tror jeg.",14,RebekkaR
Pair17,1,B,(0:04:43.9),Ja.,14,RebekkaR
Pair17,1,A,(0:04:51.1),"Så skal den vel også være ignore, ikke?",15,RebekkaR
Pair17,1,B,(0:04:53.3),Jo.,15,RebekkaR
Pair17,1,B,(0:04:59.6),2'er? Eller hvad   nej det er de der pletter.,16,RebekkaR
Pair17,1,A,(0:05:02.6),Jamen jeg tror ikke de er så farlige.,16,RebekkaR
Pair17,1,B,(0:05:05.7),2'er så.,16,RebekkaR
Pair17,1,A,(0:05:13.2),Så vil jeg umiddelbart sige 4.,17,RebekkaR
Pair17,1,B,(0:05:15.3),Ja ved den?,17,RebekkaR
Pair17,1,A,(0:05:16.1),"Ja. Det kan godt være den ikke har noget, men jeg tror den har noget. Eller skal den bare dø?",17,RebekkaR
Pair17,1,B,(0:05:22.9),Okay jeg prøver.,17,RebekkaR
Pair17,1,B,(0:05:31.8),"Det er så den samme, bare uden muskler.",18,RebekkaR
Pair17,1,A,(0:05:35.2),"Så den skal ignoreres, eller hvad?",18,RebekkaR
Pair17,1,B,(0:05:37.6),Hmm... Ja. Eller dræbes.,18,RebekkaR
Pair17,1,A,(0:05:41.6),Ja.,18,RebekkaR
Pair17,1,B,(0:05:47.3),Skal vi prøve ignore?,18,RebekkaR
Pair17,1,A,(0:05:48.0),Ja.,18,RebekkaR
Pair17,1,A,(0:05:55.1),"Den var friendly før. Så det er 2'er, eller hvad?",19,RebekkaR
Pair17,1,B,(0:05:58.9),Det må det være.,19,RebekkaR
Pair17,1,A,(0:06:07.3),Dét der er så en 2'er.,20,RebekkaR
Pair17,1,B,(0:06:08.4),"Ja, det tror jeg også.",20,RebekkaR
Pair17,1,A,(0:06:15.2),Det er en 1'er.,21,RebekkaR
Pair17,1,B,(0:06:15.7),Ja.,21,RebekkaR
Pair17,1,A,(0:06:23.8),Det er også en 1'er måske.,22,RebekkaR
Pair17,1,B,(0:06:25.1),Ja. 1'er eller 2'er.,22,RebekkaR
Pair17,1,A,(0:06:27.6),"Jeg tror ikke den er en, der har noget.",22,RebekkaR
Pair17,1,B,(0:06:31.4),Okay.,22,RebekkaR
